,Date,visitor_neutral,PTS,home_neutral,PTS
30,2020-12-03,Washington,62,Utah,76
31,2020-12-03,Winthrop,80,Little Rock,75
0,2020-12-04,Wisconsin,65,Marquette,67
1,2020-12-04,Bellarmine,54,Duke,76
2,2020-12-04,Detroit,76,Michigan State,83
3,2020-12-04,Kennesaw State,58,Creighton,93
4,2020-12-04,Kent State,64,Virginia,71
5,2020-12-04,Troy,46,Texas Tech,80
6,2020-12-04,Oregon,83,Seton Hall,70
7,2020-12-04,Carver College,38,Austin Peay,102
8,2020-12-04,Central Arkansas,68,Memphis,85
9,2020-12-04,Central Connecticut,65,Hartford,80
10,2020-12-04,College of Idaho,49,Boise State,86
11,2020-12-04,Crowley's Ridge,49,Arkansas State,115
12,2020-12-04,Dallas Christian,42,Sam Houston State,117
13,2020-12-04,Fairfield,69,Stony Brook,72
14,2020-12-04,Georgia State,76,Charlotte,65
15,2020-12-04,Jacksonville,65,Georgia,98
16,2020-12-04,Jacksonville State,70,Florida International,74
17,2020-12-04,Long Beach State,61,Loyola Marymount,85
18,2020-12-04,McNeese State,76,Stephen F. Austin,86
19,2020-12-04,North Dakota,67,Minnesota,76
20,2020-12-04,North Texas,63,Mississippi State,69
21,2020-12-04,Our Lady of the Lake,68,Texas-Rio Grande Valley,91
22,2020-12-04,St. Peter's,57,Maryland,90
23,2020-12-04,San Francisco,88,Cal Poly,60
24,2020-12-04,South Alabama,81,Auburn,90
25,2020-12-04,South Dakota State,88,Bradley,84
26,2020-12-04,Southeastern Louisiana,66,California Baptist,83
27,2020-12-04,St. Ambrose,53,Northern Iowa,98
28,2020-12-04,Stetson,60,Miami (FL),82
29,2020-12-04,Sul Ross State,62,UTSA,91
30,2020-12-04,Texas-Arlington,64,Tulsa,79
31,2020-12-04,Toledo,91,Eastern Michigan,74
32,2020-12-04,Valparaiso,61,Purdue,68
33,2020-12-04,William Jessup,62,UC-Davis,95
0,2020-12-05,North Dakota State,61,Kansas,65
1,2020-12-05,South Carolina,67,Houston,77
2,2020-12-05,Arkansas-Pine Bluff,54,Saint Louis,107
3,2020-12-05,Bluefield College (VA),64,Liberty,86
4,2020-12-05,BYU,67,Utah State,64
5,2020-12-05,Chicago State,66,Northwestern,111
6,2020-12-05,Columbia International,62,Mercer,88
7,2020-12-05,Coppin State,69,George Washington,85
8,2020-12-05,Eastern Illinois,93,Green Bay,91
9,2020-12-05,Eastern Washington,67,Arizona,70
10,2020-12-05,Fairleigh Dickinson,67,Providence,79
11,2020-12-05,Florida National University,74,Florida Gulf Coast,91
12,2020-12-05,Furman,81,College of Charleston,57
13,2020-12-05,Georgia Southern,72,USC Upstate,69
14,2020-12-05,Idaho,57,Sacramento State,73
15,2020-12-05,UIC,66,Ball State,68
16,2020-12-05,Illinois State,65,Murray State,76
17,2020-12-05,Incarnate Word,64,Texas State,72
18,2020-12-05,Iona,82,Hofstra,74
19,2020-12-05,Lamar,44,Air Force,59
20,2020-12-05,Lewis,48,Loyola (IL),76
21,2020-12-05,Lipscomb,50,Arkansas,86
22,2020-12-05,Louisiana State-Shreveport,73,Louisiana,84
23,2020-12-05,Marist,68,Binghamton,65
24,2020-12-05,Miami (OH),47,Wright State,71
25,2020-12-05,Montana,74,Southern Utah,75
26,2020-12-05,Mount St. Mary's,42,VCU,60
27,2020-12-05,Omaha,65,SIU-Edwardsville,63
28,2020-12-05,UNLV,68,Kansas State,58
29,2020-12-05,North Florida,74,High Point,85
30,2020-12-05,Northern Illinois,59,Pitt,89
31,2020-12-05,Northern Kentucky,72,Chattanooga,79
32,2020-12-05,Oakland,71,Oklahoma State,84
33,2020-12-05,Point Park,57,Robert Morris,75
34,2020-12-05,Portland State,73,Portland,86
35,2020-12-05,Radford,50,East Carolina,63
36,2020-12-05,Rhode Island College,83,Bryant,138
37,2020-12-05,Rice,86,Houston Baptist,64
38,2020-12-05,Rider,52,Syracuse,87
39,2020-12-05,Salem International,76,Delaware,79
40,2020-12-05,Samford,96,Belmont,83
41,2020-12-05,South Carolina State,56,UNC Asheville,77
42,2020-12-05,SMU,66,Dayton,64
43,2020-12-05,St. Katherine,48,Dixie State,86
44,2020-12-05,Sul Ross State,65,UTEP,84
45,2020-12-05,Tarleton State,48,Abilene Christian,69
46,2020-12-05,Toccoa Falls,58,Citadel,100
0,2020-12-06,Western Michigan,61,Michigan State,79
1,2020-12-06,West Virginia,80,Georgetown,71
2,2020-12-06,Villanova,68,Texas,64
3,2020-12-06,Grambling,40,Texas Tech,81
4,2020-12-06,Kentucky,62,Georgia Tech,79
5,2020-12-06,Bellarmine,84,Howard,63
6,2020-12-06,Binghamton,60,Marist,64
7,2020-12-06,Buffalo,78,Bowling Green State,86
8,2020-12-06,California,56,UCLA,76
9,2020-12-06,UC-Riverside,83,Denver,63
10,2020-12-06,Carver College,40,North Alabama,107
11,2020-12-06,Central Arkansas,83,Little Rock,86
12,2020-12-06,UCF,58,Michigan,80
13,2020-12-06,Central Michigan,79,Western Illinois,73
14,2020-12-06,Cleveland State,46,Ohio,101
15,2020-12-06,Coppin State,54,Drexel,69
16,2020-12-06,Detroit,70,Notre Dame,78
17,2020-12-06,Greensboro,67,Longwood,64
18,2020-12-06,Howard Payne,54,Sam Houston State,117
19,2020-12-06,Judson,45,Valparaiso,85
20,2020-12-06,La Salle,59,Army,63
21,2020-12-06,Louisiana-Monroe,92,Northwestern State,83
22,2020-12-06,Louisiana State-Alexandria,79,Stephen F. Austin,97
23,2020-12-06,Louisiana Tech,55,LSU,86
